date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:24	37211/37211	---M-Z	200	added ('OK')	application/javascript	etag:%22915b-5e1506f2ceccf-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/jsgrid/jsgrid.min.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/jsgrid/jsgrid.min.js	(from https://coderthemes.com/ubold/layouts/creative/tables-jsgrid.html)
15:22:24	1556/1556	---M-Z	200	added ('OK')	application/javascript	etag:%22614-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/jsgrid.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/jsgrid.init.js	(from https://coderthemes.com/ubold/layouts/creative/tables-jsgrid.html)
15:22:24	33529/33529	---M-Z	200	added ('OK')	application/javascript	etag:%2282f9-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/material-symbols.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/material-symbols.init.js	(from https://coderthemes.com/ubold/layouts/creative/icons-material-symbols.html)
15:22:25	314462/314462	---M-Z	200	added ('OK')	application/javascript	etag:%224cc5e-5e1506f2a7bcf-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/materialdesign.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/materialdesign.init.js	(from https://coderthemes.com/ubold/layouts/creative/icons-mdi.html)
15:22:25	573406/573406	---M-Z	200	added ('OK')	application/javascript	etag:%228bfde-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/fontawesome.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/fontawesome.init.js	(from https://coderthemes.com/ubold/layouts/creative/icons-font-awesome.html)
15:22:26	31936/31936	---M-Z	200	added ('OK')	application/javascript	etag:%227cc0-5e1506f2ccd8f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/gmaps/gmaps.min.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/gmaps/gmaps.min.js	(from https://coderthemes.com/ubold/layouts/creative/maps-google.html)
15:22:26	7816/7816	---M-Z	200	added ('OK')	application/javascript	etag:%221e88-5e1506f2a6c2f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/js/pages/google-maps.init.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/js/pages/google-maps.init.js	(from https://coderthemes.com/ubold/layouts/creative/maps-google.html)
15:22:27	130780/130780	---M-Z	200	added ('OK')	application/javascript	etag:%221fedc-5e1506f2aaaaf-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-us-merc-en.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-us-merc-en.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:27	33856/33856	---M-Z	200	added ('OK')	application/javascript	etag:%228440-5e1506f2a8b6f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-au-mill-en.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-au-mill-en.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
15:22:27	141209/141209	---M-Z	200	added ('OK')	application/javascript	etag:%2222799-5e1506f2a9b0f-gzip%22	https://coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-in-mill-en.js	C:/Users/khaing/OneDrive/Desktop/THEME/ubold_theme/coderthemes.com/ubold/layouts/creative/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-in-mill-en.js	(from https://coderthemes.com/ubold/layouts/creative/maps-vector.html)
